//**Error Message,Error Code,Error defined in .h,Error description in Chinese,Error description in English,Is in CIM
//**Battery & Coin Cell,,,,,
Check_Battery_ID_Fail,BATT0001,FunErr_Check_Battery_ID_Fail,检测电池 ID失败,Check battery ID fail,Y
Check_Battery_Temperatur_Fail,BATT0002,FunErr_Check_Battery_Temperature_Fail,检测电池温度失败,Check battery temperature fail,Y
Check_Battery_Voltage_Fail,BATT0003,FunErr_Check_Battery_Voltage_Fail,检测电池电压失败,Check battery voltage fail,N
Detect_Battery_Cover_Fail,BATT0004,FunErr_Detect_Battery_Cover_Fail,检测Battery Cover失败,Battery cover detect fail,Y
Check_Coin_Cell_Voltage_Fail,BATT0005,FunErr_Check_Coin_Cell_Voltage_Fail,检测小锂电电压失败,Check coin cell voltage fail,Y
Charge_ID_Fail,BATT0006,FunErr_Charge_ID_Fail,Charge ID 检测失败,Charge ID fail,Y
Check_Battery_Impedance_Fail,BATT0007,FunErr_Check_Battery_Impedance_Fail,检测电池阻抗失败,Check battery impedance fail,Y
Check_Battery_Current_Fail,BATT0008,FunErr_Check_Battery_Current_Fail,检测电池电流失败,Check battery current fail,Y
Battery_Voltage_Too_Low,BATT0009,FunErr_Battery_Voltage_Too_Low,电池电压太低请充电后再测试,Voltage too low need to charge then test again,N
Check_Battery_Capacity_Fail,BATT0010,FunErr_Check_Battery_Capacity_Fail,检测电池电量失败,Check battery capacity fail,N
Battery_RSense_Calibration_Fail,BATT0011,FunErr_Battery_RSense_Calibration_Fail,电池Rsense K测失败,Battery rsense calibration fail,Y
Battery_Voltage_Too_High,BATT0012,FunErr_Battery_Voltage_Too_High,电池电量太满,Voltage too high,N
Read_Battery_Capacity_Fail,BATT0013,FunErr_Read_Battery_Capacity_Fail,读取电量失败,Read Battery Capacity Fail,Y
//**charging,,,,,
Switch_To_USB_Charging_Fail,CHAG0001,FunErr_Switch_To_USB_Charging_Fail,切换用 USB 充电失败,Switch to USB charging fail,Y
USB_Charge_Fail,CHAG0002,FunErr_USB_Charge_Fail,USB充电失败,USB charging fail         ,Y
Stop_Coin_Cell_Charge_Fail,CHAG0003,FunErr_Stop_Coin_Cell_Charge_Fail,停止小锂电充电失败,Stop coin cell charging fail,Y
Start_Coin_Cell_Charging_Fail,CHAG0004,FunErr_Start_Coin_Cell_Charging_Fail,开始小锂电充电失败,Start Coin Cell charging fail,Y
Stop_USB_Charging_Fail,CHAG0005,FunErr_Stop_USB_Charging_Fail,停止USB充电失败,Stop USB charging fail,Y
//**BT,,,,,
BT_Test_Init_Device_Fail,BT000001,FunErr_BT_Test_Init_Device_Fail,BT测试初始化仪器失败,Initial BT test device fail,N
BT_Test_Set_Command_Fail,BT000002,FunErr_BT_Test_Set_Command_Fail,BT测试指令失败,BT test command fail,Y
BT_Module_ON_Fail,BT000003,FunErr_BT_Module_ON_Fail,加载BT模块失败,Load BT module fail,Y
BT_Module_OFF_Fail,BT000004,FunErr_BT_Module_OFF_Fail,卸载BT模块失败,Unload BT module fail,Y
BT_Power_ON_Fail,BT000005,FunErr_BT_Power_ON_Fail,打开BT失败,Open BT fail,Y
BT_Power_OFF_Fail,BT000006,FunErr_BT_Power_OFF_Fail,关闭BT失败,Close BT fail,Y
BT_Test_OutPower_OutRange,BT000007,FunErr_BT_Test_OutPower_OutRange,BT测试输出Power超出范围,BT test outpower out range,Y
BT_ID_Fail,BT000008,FunErr_BT_ID_Fail,BT ID错误,Check BT ID fail,Y
BT_Hardware_Selftest_Fail,BT000009,FunErr_BT_Hardware_Selftest_Fail,BT自测失败,BT selftest fail,Y
BT_EM_Test_Fail,BT000010,FunErr_BT_EM_Test_Fail,EM BT测试失败,BT EM test fail,Y
BT_Modulation_Characteristic_Fail,BT000011,FunErr_BT_Modulation_Characteristic_Fail,BT 调变特性测试失败,BT modulation characteristic fail,Y
BT_ICFT_Fail,BT000012,FunErr_BT_ICFT_Fail,BT ICFT 测试失败,BT ICFT fail,Y
BT_Carrier_Drift_Fail,BT000013,FunErr_BT_Carrier_Drift_Fail,BT 载波飘移测试失败,BT carrier drift fail,Y
BT_EDR_Freq_Stab_Mod_ACC_Fail,BT000014,FunErr_BT_EDR_Freq_Stab_Mod_ACC_Fail,BT EDR载波频率稳定度和调变准确度测试失败,BT EDR frequency stab mod ACC fail,Y
BT_EDR_Diff_Phase_Encoding_Fail,BT000015,FunErr_BT_EDR_Diff_Phase_Encoding_Fail,BT EDR差分相位编码测试失败,BT EDR diff phase encoding fail,Y
BT_Singleslot_Sensitivity_Fail,BT000016,FunErr_BT_Singleslot_Sensitivity_Fail,BT 单通灵敏度测试失败,BT single slot sensitivity fail,Y
BT_Multislot_Sensitivity_Fail,BT000017,FunErr_BT_Multislot_Sensitivity_Fail,BT 多通灵敏度测试失败,BT multi slot sensitivity fail,Y
