//**Error Message,Error Code,Error defined in .h,Error description in Chinese,Error description in English,Is in CIM
//**Common Qlib,,,,,
Qlib_Connect_Phone_Fail,QLIB0000,ERR_QLIB_PHONE_CONNECT,Qlib 函数 Qlib_Connect_Phone 执行失败,Function Qlib_Connect_Phone execute fail,Y
Qlib_Set_FTM_Fail,QLIB0001,ERR_QLIB_SET_FTM,Qlib 函数 Qlib_Set_FTM 执行失败,Function Qlib_Set_FTM execute fail,Y
Qlib_Set_Online_Fail,QLIB0002,ERR_QLIB_SET_ONLINE,Qlib 函数 Qlib_Set_Online 执行失败,Function Qlib_Set_Online execute fail,Y
Qlib_Phone_Offline_Fail,QLIB0003,ERR_QLIB_SET_OFFLINE,Qlib 函数 Qlib_Phone_Offline 执行失败,Function Qlib_Phone_Offline execute fail,Y
Qlib_IsPhoneConnected_Fail,QLIB0004,ERR_QLIB_IsPhoneConnected,Qlib 函数 Qlib_IsPhoneConnected 执行失败,Function Qlib_IsPhoneConnected execute fail,Y
Qlib_Set_Phone_Band_Fail,QLIB0005,ERR_QLIB_SET_PHONE_BAND,Qlib 函数 Qlib_Set_Phone_Band 执行失败,Function Qlib_Set_Phone_Band execute fail,Y
Qlib_Diag_NV_Write_F_Fail,QLIB0006,ERR_QLIB_DIAG_NV_WRITE_F,Qlib 函数 Qlib_Diag_NV_Write_F 执行失败,Function Qlib_Diag_NV_Write_F execute fail,Y
Qlib_Diag_NV_Write_FlushBatchQueue_Fail,QLIB0007,ERR_QLIB_DIAG_NV_WRITE_FlushBatchQueue,Qlib 函数 Qlib_Diag_NV_Write_FlushBatchQueue 执行失败,Function Qlib_Diag_NV_Write_FlushBatchQueue execute fail,Y
Qlib_FTM_Load_RF_NV_Fail,QLIB0008,ERR_QLIB_FTM_LOAD_RF_NV,Qlib 函数 Qlib_FTM_Load_RF_NV 执行失败,Function Qlib_FTM_Load_RF_NV execute fail,Y
Qlib_FTM_Set_Command_Code_Fail,QLIB0009,ERR_QLIB_FTM_SET_COMMAND_CODE,Qlib 函数 Qlib_FTM_Set_Command_Code 执行失败,Function Qlib_FTM_Set_Command_Code execute fail,Y
Qlib_FTM_Set_Channel_Fail,QLIB0010,ERR_QLIB_FTM_SET_CHAN,Qlib 函数 Qlib_FTM_Set_Channel 执行失败,Function Qlib_FTM_Set_Channel execute fail,Y
Qlib_FTM_Set_Secondary_Chain_Fail,QLIB0011,ERR_QLIB_FTM_SET_SECONDARY_CHAIN,Qlib 函数 Qlib_FTM_Set_Secondary_Chain 执行失败,Function Qlib_FTM_Set_Secondary_Chain execute fail,Y
Qlib_FTM_Set_Tx_OnOff_Fail,QLIB0012,ERR_QLIB_FTM_SET_TX_ONOFF,Qlib 函数 Qlib_FTM_Set_Tx_OnOff 执行失败,Function Qlib_FTM_Set_Tx_OnOff execute fail,Y
Qlib_RFCAL_NV_Manager_WriteToPhone_Fail,QLIB0013,ERR_QLIB_RFCal_NV_Manager_WriteToPhone,Qlib 函数 Qlib_RFCAL_NV_Manager_WriteToPhone 执行失败,Function Qlib_RFCAL_NV_Manager_WriteToPhone execute fail,Y
Qlib_FTM_Set_PDM_Fail,QLIB0014,ERR_QLIB_FTM_SET_PDM,Qlib 函数 Qlib_FTM_Set_PDM 执行失败,Function Qlib_FTM_Set_PDM execute fail,Y
Qlib_FTM_Set_Mode_Id_Fail,QLIB0015,ERR_QLIB_FTM_SET_MODE_ID,Qlib 函数 Qlib_FTM_Set_Mode_Id 执行失败,Function Qlib_FTM_Set_Mode_Id execute fail,Y
Qlib_ConfigureTimeOut_Fail,QLIB0016,ERR_QLIB_ConfigureTimeOut,Qlib 函数 Qlib_ConfigureTimeOut 执行失败,Function Qlib_ConfigureTimeOut execute fail,Y
Qlib_FTM_Get_ENH_Therm_Fail,QLIB0017,ERR_QLIB_FTM_GET_ENH_THERM,Qlib 函数 Qlib_FTM_Get_ENH_Therm 执行失败,Function Qlib_FTM_Get_ENH_Therm execute fail,Y
