//**Error Message,Error Code,Error defined in .h,Error description in Chinese,Error description in English,Is in CIM
DL_Partition_Table_Fail,DOWL0001,DLErr_DL_Partition_Table_Fail,下载partition失败,Download partition Fail,Y
DL_Hex_Fail,DOWL0002,DLErr_DL_Hex_Fail,下载hex失败,Download hex Fail,Y
DL_MsImage_Fail,DOWL0003,DLErr_DL_MsImage_Fail,下载msimage失败,Download msimage Fail,Y
DL_SBL1_Fail,DOWL0004,DLErr_DL_SBL1_Fail,下载sbl1失败,Download sbl1 Fail,Y
DL_SBL2_Fail,DOWL0005,DLErr_DL_SBL2_Fail,下载sbl2失败,Download sbl2 Fail,Y
DL_SBL3_Fail,DOWL0006,DLErr_DL_SBL3_Fail,下载sbl3失败,Download sbl3 Fail,Y
DL_RPM_Fail,DOWL0007,DLErr_DL_RPM_Fail,下载rpm失败,Download rpm Fail,Y
DL_TZ_Fail,DOWL0008,DLErr_DL_TZ_Fail,下载tz失败,Download tz Fail,Y
DL_Emmc_Appboot_Fail,DOWL0009,DLErr_DL_Emmc_Appboot_Fail,下载emmc_appboot失败,Download emmc_appboot Fail,Y
DL_Boot_Fail,DOWL0010,DLErr_DL_Boot_Fail,下载boot失败,Download boot Fail,Y
DL_System_Fail,DOWL0011,DLErr_DL_System_Fail,下载system失败,Download system Fail,Y
DL_Userdata_Fail,DOWL0012,DLErr_DL_Userdata_Fail,下载userdata失败,Download userdata Fail,Y
DL_Persist_Fail,DOWL0013,DLErr_DL_Persist_Fail,下载persist失败,Download persist Fail,Y
DL_Recovery_Fail,DOWL0014,DLErr_DL_Recovery_Fail,下载recovery失败,Download recovery Fail,Y
DL_Nonhlos_Fail,DOWL0015,DLErr_DL_Nonhlos_Fail,下载nonhlos失败,Download nonhlos Fail,Y
DL_Cache_Fail,DOWL0016,DLErr_DL_Cache_Fail,下载cache失败,Download cache Fail,Y
DL_RC_Fail,DOWL0017,DLErr_DL_RC_Fail,下载rc失败,Download RC Fail,Y
DL_Dmss_Nop_Fail,DOWL0018,DLErr_DL_Dmss_Nop_Fail,DMSS NOP失败,DMSS NOP Fail,Y
DL_Streaming_Hello_Fail,DOWL0019,DLErr_DL_Streaming_Hello_Fail,Streaming Hello失败,Streaming Hello Fail,Y
DL_Streaming_Security_Fail,DOWL0020,DLErr_DL_Streaming_Security_Fail,Streaming Security失败,Streaming Security Fail,Y
DL_Streaming_Reset_Fail,DOWL0021,DLErr_DL_Streaming_Reset_Fail,Streaming Reset失败,Streaming Reset Fail,Y
DL_qcsblhd_Fail,DOWL0022,DLErr_DL_QCSBLHD_Fail,下载qcsblhd失败,Download qcsblhd Fail,Y
DL_qcsbl_Fail,DOWL0023,DLErr_DL_QCSBL_Fail,下载qcsbl失败,Download qcsbl Fail,Y
DL_oemsblhd_Fail,DOWL0024,DLErr_DL_OEMSBLHD_Fail,下载oemsblhd失败,Download oemsblhd Fail,Y
DL_oemsbl_Fail,DOWL0025,DLErr_DL_OEMSBL_Fail,下载oemsbl失败,Download oemsbl Fail,Y
DL_amsshd_Fail,DOWL0026,DLErr_DL_AMSSHD_Fail,下载amsshd失败,Download amsshd Fail,Y
DL_amss_Fail,DOWL0027,DLErr_DL_AMSS_Fail,下载amss失败,Download amss Fail,Y
DL_appsboothd_Fail,DOWL0028,DLErr_DL_APPSBOOTHD_Fail,下载appsboothd失败,Download appsboothd Fail,Y
DL_appsboot_Fail,DOWL0029,DLErr_DL_APPSBOOT_Fail,下载appsboot失败,Download appsboot Fail,Y
DL_flex_Fail,DOWL0030,DLErr_DL_flex_Fail,下载flex失败,Download flex Fail,Y
DL_logfilter_Fail,DOWL0031,DLErr_DL_logfilter_Fail,下载logfilter失败,Download logfilter Fail,Y
DL_passport_Fail,DOWL0032,DLErr_DL_passport_Fail,下载passport失败,Download passport Fail,Y
DL_wifibin_Fail,DOWL0033,DLErr_DL_WifiBin_Fail,下载wifibin失败,Download wifibin Fail,Y
DL_md5_Fail,DOWL0034,DLErr_DL_md5_Fail,下载md5失败,Download md5 Fail,Y
Set_Fastboot_Flag_Fail,DOWL0035,DLErr_Set_Fastboot_Flag_Fail,设置fastboot flag失败,Set fastboot flag Fail,Y
Setting_Open_Fail,DOWL0036,DLErr_Setting_Open_Fail,打开设置项失败,Open setting Fail,Y
DL_Tombstones_Fail,DOWL0037,DLErr_DL_Tombstones_Fail,下载Tombstones失败,Download Tombstones Fail,Y
DL_Qglog_Fail,DOWL0038,DLErr_DL_Qglog_Fail,烧录Qglog fail,Download Qglog Fail,Y
Read_PicassoNum_Fail,DOWL0039,DLErr_Read_PicassoNum_Fail,读取 Picasso number失败,Read Picasso number fail,Y
Dump_SBL_Log_Fail,DOWL0040,DLErr_Dump_SBL_Log_Fail,下载 SBL log 失败,Dump SBL log fail,Y
Dump_PBL_Log_Fail,DOWL0041,DLErr_Dump_PBL_Log_Fail,下载 PBL log 失败,Dump PBL log Fail,Y
DL_Dmss_Parameter_Fail,DOWL0042,DLErr_DL_Dmss_Parameter_Fail,DMSS PARAMETER失败,DMSS PARAMETER Fail,Y
