//**Error Message,Error Code,Error defined in .h,Error description in Chinese,Error description in English,Is in CIM
PASS,PASS,CommErr_PASS,,,
//**Software Version,,,,,
Get_Software_Version_Fail,SWVS0001,CommErr_Get_Software_Version_Fail,读取软件版本错误,Get software version fail,Y
Check_Software_Version_Fail,SWVS0002,CommErr_Check_Software_Version_Fail,软件版本错误,Check software version fail,N
Check_BIST_Version_Fail,SWVS0003,CommErr_Check_BIST_Version_Fail,BIST版本错误,Check BIST version fail,Y
//**Hardware Version,,,,,
Get_Hardware_Version_Fail,HWVS0001,CommErr_Get_Hardware_Version_Fail,读取硬件版本错误,Get hardware version fail,Y
Check_Hardware_Version_Fail,HWVS0002,CommErr_Check_Hardware_Version_Fail,硬件版本错误,Check hardware version fail,N
Get_Mechaical_Version_Fail,HWVS0003,CommErr_Get_Mechaical_Version_Fail,读取机构版本错误,Get ME version fail,Y
Check_Mechaical_Version_Fail,HWVS0004,CommErr_Check_Mechaical_Version_Fail,机构版本错误,Check ME version fail,N
SKU_ID_Fail,HWVS0005,CommErr_SKU_ID_Fail,SKU ID 错误,Check SKU ID fail,Y
//**HW ID,,,,,
Get_HW_ID_Fail,HWID0001,CommErr_Get_HW_ID_Fail,读取HW ID错误,Get HW ID fail,Y
Check_HW_ID_Fail,HWID0002,CommErr_Check_HW_ID_Fail,HW ID错误,Check HW ID fail,N
Check_HW_ID_Rule_Fail,HWID0003,CommErr_Check_HW_ID_Rule_Fail,HW ID不符合规则,Check HW ID Rule fail,N
//**Read and Write FA,,,,,
Factory_Area_Not_Active,FA000001,CommErr_Factory_Area_Not_Active,FA处于未激活状态,FA is not active,Y
Read_Factory_Area_Fail,FA000002,CommErr_Read_Factory_Area_Fail,读FA失败,Read FA fail,Y
Write_Factory_Area_Fail,FA000003,CommErr_Write_Factory_Area_Fail,写FA失败,Write FA fail,Y
//**OTP,,,,,
Query_OTP_Status_Fail,OTP00001,CommErr_Query_OTP_Status_Fail,查询手机OTP是否Frozen失败,Query OTP freeze fail,Y
Freeze_OTP_Fail,OTP00002,CommErr_Freeze_OTP_Fail,Freeze 手机OTP失败,OTP freeze fail,Y
OTP_Damaged_Or_Warning,OTP00003,CommErr_OTP_Damaged_Or_Warning,OTP 损坏或者其他警告,OTP damaged or Warning,Y
//**SPC,,,,,
Read_SPC_Code_Fail,SPC00001,CommErr_Read_SPC_Code_Fail,读SPC失败,Read SPC fail,Y
Write_SPC_Code_Fail,SPC00002,CommErr_Write_SPC_Code_Fail,写SPC失败,Write SPC fail,Y
SPC_Code_Error,SPC00003,CommErr_SPC_Code_Error,SPC Code不正确,SPC Code Error,Y
SPC_Unlock_Fail,SPC00004,CommErr_SPC_Unlock_Fail,Unlock SPC 失败,Unlock SPC fail,Y
SPC_lock_Fail,SPC00005,CommErr_SPC_lock_Fail,Lock SPC 失败,Lock SPC fail,Y
Query_SPC_lock_Status_Fail,SPC00006,CommErr_Query_SPC_lock_Status_Fail,获取手机SPC状态失败,Query SPC lock status fail,Y
Compare_SPC_Code_Fail,SPC00007,CommErr_Compare_SPC_Code_Fail,比较手机里写入的SPC码和系统不一致,Compare SPC code fail,Y
//**Partition,,,,,
Clear_All_Item_Fail,PT000001,CommErr_Clear_All_Item_Fail,清除手机中的数据 失败,Clear Mobile date fail,Y
Unlock_Partition_Fail,PT000002,CommErr_Unlock_Partition_Fail,解锁Partition 失败,Unlock Partition fail,Y
//**Sim data,,,,,
Encode_Sim_Data_Fail,SMLK0001,CommErr_Encode_Sim_Data_Fail,Encode SIM data 失败,Encode SIM data from server fail,Y
Write_Sim_Data_Fail,SMLK0002,CommErr_Write_Sim_Data_Fail,写Sim data失败,Write sim data fail,Y
Check_Sim_Data_Fail,SMLK0003,CommErr_Check_Sim_Data_Fail,检查SIM data失败,Check sim data fail,Y
